City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Beachwood,US,78.3,few clouds,41.4645,-81.5087,Hampton Inn & Suites Cleveland-Beachwood
290,Yining,CN,72.7,scattered clouds,29.0361,114.5636,Xiushui Hotel
293,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
296,Kiama,AU,62.08,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
299,Presidencia Roque Saenz Pena,AR,78.84,broken clouds,-26.7852,-60.4388,Hotel Gualok
304,Lashio,MM,74.34,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
305,Puerto Madryn,AR,66.42,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
306,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
308,Mantua,IT,62.06,overcast clouds,45.1667,10.7833,Hotel la Favorita
309,Bulolo,PG,68.49,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
310,Richards Bay,ZA,73.99,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
312,Witney,GB,62.58,few clouds,51.7836,-1.4854,Oxford Witney Hotel
313,Naze,JP,68.92,broken clouds,28.3667,129.4833,Shishime Hotel
319,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
321,Ahuimanu,US,76.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
323,La Palma,US,75.87,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
327,Lompoc,US,67.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
329,Westport,US,62.31,clear sky,41.1415,-73.3579,The Inn at Longshore
330,Morro Bay,US,64.74,clear sky,35.3658,-120.8499,Inn at Morro Bay
332,Bengkulu,ID,77.47,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
334,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
336,Tateyama,JP,61.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
340,Hamilton,US,77.76,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
348,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
350,Redlands,US,71.22,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
354,Rabaul,PG,79.63,broken clouds,-4.1967,152.1721,Rabaul Hotel
355,Port Keats,AU,79.74,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
356,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
358,Hit,IQ,75.22,overcast clouds,33.6416,42.8251,بيت ابو رباح
363,Flinders,AU,61.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
366,Mporokoso,ZM,69.89,light rain,-9.3727,30.125,Government Guest House
367,Beni,CD,65.48,light rain,0.5,29.4667,Albertine hotel
369,Vanimo,PG,79.84,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
373,Kota Belud,MY,77.4,light rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
376,Payo,ID,75.11,broken clouds,-3.7508,103.6372,Mess keban agung
380,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
382,Novi Pazar,RS,69.35,overcast clouds,43.1367,20.5122,Hotel Tadž
385,Meulaboh,ID,79.84,overcast clouds,4.1363,96.1285,Kost Pria
389,Pisco,PE,62.65,fog,-13.7,-76.2167,Hotel San Isidro Oficial
397,Lixourion,GR,69.8,clear sky,38.2019,20.4314,Hotel Summery
398,Zhangjiakou,CN,65.7,scattered clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
399,Serenje,ZM,68.32,broken clouds,-13.2325,30.2352,The Kabaso's
402,San Rafael,AR,71.6,clear sky,-34.6177,-68.3301,Hotel San Rafael
403,Huangchuan,CN,75.22,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
404,San Marcos,US,72.48,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
405,Baybay,PH,78.48,broken clouds,10.6833,124.8333,Palermo Hotel
406,Hami,CN,66.38,broken clouds,42.8,93.45,Laoyutang Resort
409,Trelew,AR,65.08,broken clouds,-43.249,-65.3051,Hotel Touring Club
412,Lasem,ID,79.61,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
415,Ocean City,US,73.29,clear sky,39.2776,-74.5746,Biscayne Suites
