City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Cidreira,BR,-30.1811,-50.2056,69.51,63,0,15.46,clear sky
119,Beringovskiy,RU,63.05,179.3167,14.25,95,80,1.52,broken clouds
120,Udachnyy,RU,66.4167,112.4,4.08,91,97,1.81,overcast clouds
121,Tautira,PF,-17.7333,-149.15,79.36,75,69,5.32,moderate rain
122,Shimoda,JP,34.6667,138.95,59.11,90,100,5.46,moderate rain
123,Inuvik,CA,68.3499,-133.7218,31.06,55,20,6.91,few clouds
124,Mount Gambier,AU,-37.8333,140.7667,46.31,93,46,0.0,fog
125,Kieta,PG,-6.2167,155.6333,78.71,81,96,1.68,overcast clouds
126,Waling,NP,27.9833,83.7667,75.51,15,0,4.94,clear sky
127,Kargala,RU,56.6208,83.9607,31.05,89,100,3.67,overcast clouds
128,Puerto Escondido,MX,15.85,-97.0667,85.03,79,20,5.75,few clouds
129,Lavrentiya,RU,65.5833,-171.0,13.37,92,94,6.2,overcast clouds
130,Vao,NC,-22.6667,167.4833,73.98,70,100,21.47,overcast clouds
131,Nelson Bay,AU,-32.7167,152.15,58.08,95,44,6.67,scattered clouds
132,Lebu,CL,-37.6167,-73.65,57.69,87,100,23.91,overcast clouds
133,Krasnoselkup,RU,65.7,82.4667,3.47,97,87,2.86,overcast clouds
134,Tasiilaq,GL,65.6145,-37.6368,42.96,70,100,4.38,overcast clouds
135,Igarka,RU,67.4667,86.5833,-0.74,99,70,5.55,broken clouds
136,Gao,ML,16.6362,1.637,104.0,6,2,13.33,clear sky
137,Sojat,IN,25.9167,73.6667,92.48,13,29,6.78,scattered clouds
138,Lata,PT,40.1629,-8.3327,66.07,60,96,3.85,overcast clouds
139,Ambilobe,MG,-13.2,49.05,79.03,74,86,7.47,overcast clouds
140,Hobyo,SO,5.3505,48.5268,85.23,64,26,9.57,scattered clouds
141,Norman Wells,CA,65.282,-126.8329,35.64,64,20,6.91,few clouds
142,Yar-Sale,RU,66.8333,70.8333,13.59,91,100,4.94,overcast clouds
143,Tumut,AU,-35.3,148.2167,52.23,89,98,3.27,overcast clouds
144,Carnarvon,AU,-24.8667,113.6333,66.27,94,4,0.0,clear sky
145,Lukovetskiy,RU,64.2956,41.9211,36.45,88,100,2.59,overcast clouds
146,Butaritari,KI,3.0707,172.7902,79.72,79,100,12.82,light rain
147,Khandyga,RU,62.6667,135.6,14.34,98,53,1.59,broken clouds
148,Port Lincoln,AU,-34.7333,135.8667,66.15,80,100,6.26,light rain
149,Samut Sakhon,TH,13.5833,100.3,91.02,73,3,14.5,light rain
150,Khatanga,RU,71.9667,102.5,-3.26,100,100,3.18,overcast clouds
151,Saint-Francois,FR,46.4154,3.9054,57.67,82,100,5.75,overcast clouds
152,Dubai,AE,25.2582,55.3047,89.53,40,0,8.05,clear sky
153,Oranjestad,AW,12.524,-70.027,85.95,62,75,20.71,broken clouds
154,Luderitz,NA,-26.6481,15.1594,68.59,38,0,30.74,clear sky
155,Conceicao Da Barra,BR,-18.5933,-39.7322,88.75,55,9,6.04,clear sky
156,Nikolskoye,RU,59.7035,30.7861,50.72,74,100,9.55,light rain
157,Kruisfontein,ZA,-34.0033,24.7314,59.88,55,51,14.67,broken clouds
158,Kiboga,UG,0.9161,31.7742,67.15,82,100,5.61,overcast clouds
159,Lingao,CN,19.9103,109.6859,78.66,82,12,8.63,few clouds
160,Ribeira Grande,PT,38.5167,-28.7,63.0,59,40,19.57,scattered clouds
161,Jinsha,CN,32.0898,121.0735,64.98,98,100,8.52,overcast clouds
162,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,63,40,21.3,scattered clouds
163,Brae,GB,60.3964,-1.353,48.43,75,79,16.84,broken clouds
164,Pryazha,RU,61.6926,33.6216,42.03,75,42,8.16,scattered clouds
165,Songkhla,TH,6.8333,100.6667,82.45,90,62,2.64,broken clouds
166,Tokur,RU,53.1333,132.9,16.59,97,100,2.04,overcast clouds
167,Dunedin,NZ,-45.8742,170.5036,54.81,68,100,14.0,overcast clouds
168,Nioro,GM,13.35,-15.75,107.92,8,32,10.45,scattered clouds
169,Yulara,AU,-25.2406,130.9889,61.47,86,13,12.41,few clouds
170,Necochea,AR,-38.5473,-58.7368,70.57,47,8,12.1,clear sky
171,Matagami,CA,49.7502,-77.6328,33.91,69,100,17.27,light snow
172,Broken Hill,AU,-31.95,141.4333,65.1,52,100,12.73,overcast clouds
173,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,72,75,10.36,broken clouds
174,Ayr,GB,55.4627,-4.6339,60.51,55,20,14.97,few clouds
175,Pevek,RU,69.7008,170.3133,0.05,99,99,3.47,overcast clouds
176,Yellowknife,CA,62.456,-114.3525,19.92,68,0,12.66,clear sky
177,Omsukchan,RU,62.5333,155.8,17.51,96,100,7.05,snow
178,Torbay,CA,47.6666,-52.7314,37.27,94,100,20.71,light intensity drizzle
179,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,0,4.61,clear sky
180,Seoul,KR,37.5683,126.9778,61.99,94,75,3.44,mist
181,Matara,LK,5.9485,80.5353,80.06,85,16,2.13,few clouds
182,Algiers,DZ,36.7525,3.042,64.22,63,20,11.5,few clouds
183,Hazorasp,UZ,41.3194,61.0742,66.04,27,0,13.11,clear sky
184,San Patricio,US,28.017,-97.5169,82.26,68,49,21.92,scattered clouds
185,Bartica,GY,6.4,-58.6167,86.32,81,96,3.31,overcast clouds
186,Saldanha,ZA,-33.0117,17.9442,64.45,75,0,14.76,clear sky
187,Tomatlan,MX,19.9333,-105.25,77.63,49,4,1.07,clear sky
188,Saravan,AM,39.7196,45.6483,60.22,45,100,0.43,overcast clouds
189,Formosa Do Rio Preto,BR,-11.0483,-45.1931,90.1,40,42,7.7,scattered clouds
190,San Vicente,AR,-26.6167,-54.1333,80.4,56,1,6.51,clear sky
191,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.15,65,60,5.17,light rain
192,Aklavik,CA,68.2191,-135.0107,19.4,86,0,3.44,clear sky
193,Camacupa,AO,-12.0167,17.4833,74.59,54,56,2.35,broken clouds
194,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,65,20,9.22,few clouds
195,Am Timan,TD,11.0297,20.2827,100.81,19,58,0.56,broken clouds
196,Bairiki,KI,1.3292,172.9752,80.6,83,20,9.22,few clouds
197,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,60,4,13.82,clear sky
198,Bilma,NE,18.6853,12.9164,105.42,7,3,7.36,clear sky
199,Karratha,AU,-20.7377,116.8463,80.85,62,0,3.53,light rain
200,Nichinan,JP,31.6,131.3667,65.16,94,75,1.81,broken clouds
201,Hasaki,JP,35.7333,140.8333,59.4,92,100,9.64,heavy intensity rain
202,Wrexham,GB,53.0,-3.0,63.03,49,20,12.66,few clouds
203,Thompson,CA,55.7435,-97.8558,14.16,73,75,14.97,broken clouds
204,Oksfjord,NO,70.2396,22.3479,41.07,96,100,6.87,overcast clouds
205,Bambanglipuro,ID,-7.95,110.2833,77.49,91,100,1.68,light rain
206,Haverfordwest,GB,51.8017,-4.9691,54.99,70,90,9.37,overcast clouds
207,Harper,LR,4.375,-7.7169,86.32,67,98,10.51,overcast clouds
208,Turukhansk,RU,65.8167,87.9833,17.06,94,100,6.78,overcast clouds
209,Eston,CA,51.1501,-108.7514,38.91,72,100,6.64,overcast clouds
210,Vysokogornyy,RU,50.1167,139.15,24.33,95,100,6.73,overcast clouds
211,Port Elizabeth,ZA,-33.918,25.5701,62.1,79,0,16.11,clear sky
212,Ahipara,NZ,-35.1667,173.1667,61.57,82,25,12.55,light rain
213,Gobabis,NA,-22.45,18.9667,78.08,21,17,2.8,few clouds
214,Biltine,TD,14.5333,20.9167,105.57,5,13,10.27,few clouds
215,Botwood,CA,49.1499,-55.3482,35.91,98,100,15.41,overcast clouds
216,Tuy Hoa,VN,13.0833,109.3,77.72,93,35,4.03,scattered clouds
217,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,4.61,overcast clouds
218,Avarua,CK,-21.2078,-159.775,78.85,83,75,4.61,broken clouds
219,Esna,EG,25.2934,32.554,95.34,6,0,16.64,clear sky
220,Wadena,US,46.4425,-95.1361,40.75,93,100,0.0,overcast clouds
221,Lorengau,PG,-2.0226,147.2712,80.46,82,61,5.1,broken clouds
222,Iqaluit,CA,63.7506,-68.5145,20.93,79,100,11.99,light snow
223,Le Port,RE,-20.9373,55.2919,77.0,66,90,5.3,overcast clouds
224,Kjollefjord,NO,70.9457,27.3465,37.45,85,100,14.74,overcast clouds
225,Awbari,LY,26.5921,12.7805,92.08,7,6,12.37,clear sky
226,Atambua,ID,-9.1061,124.8925,71.6,83,17,4.45,few clouds
227,Zhigansk,RU,66.7697,123.3711,3.33,95,24,5.97,few clouds
228,Tessalit,ML,20.1986,1.0114,95.79,5,0,14.07,clear sky
229,Kutum,SD,14.2,24.6667,94.35,6,6,4.47,clear sky
230,Fort Abbas,PK,29.1925,72.8536,94.23,10,51,4.7,broken clouds
231,Mazagao,BR,-0.115,-51.2894,87.85,70,84,7.54,light rain
232,Rumoi,JP,43.9344,141.6428,46.94,85,82,10.25,broken clouds
233,Nukus,UZ,42.4531,59.6103,66.18,37,0,6.91,clear sky
234,Beloha,MG,-25.1667,45.05,78.06,66,86,4.7,light rain
235,Gat,IL,31.61,34.7642,78.4,100,4,9.55,clear sky
236,Tacuarembo,UY,-31.7333,-55.9833,73.2,33,0,13.33,clear sky
237,Belmonte,BR,-15.8631,-38.8828,85.46,66,24,7.63,few clouds
238,Maldonado,UY,-34.6667,-54.9167,72.79,32,1,13.15,clear sky
239,Shitanjing,CN,39.2342,106.3439,62.17,16,5,3.24,clear sky
240,Vestmanna,FO,62.1564,-7.1664,47.32,66,80,12.66,broken clouds
241,Wajir,KE,1.7471,40.0573,94.96,36,75,9.22,broken clouds
242,Shira,RU,54.4911,89.9531,29.16,70,100,7.18,overcast clouds
243,Holme,DK,56.1138,10.1725,53.17,72,100,12.17,overcast clouds
244,Urucara,BR,-2.5364,-57.76,88.68,57,69,5.28,broken clouds
245,Clyde River,CA,70.4692,-68.5914,5.23,85,100,6.91,light snow
246,Tiznit,MA,29.5833,-9.5,57.76,67,100,14.97,overcast clouds
247,Barcelona,ES,41.3888,2.159,74.44,57,20,24.16,few clouds
248,Ndele,CF,8.4109,20.6473,86.43,49,96,5.88,overcast clouds
249,Bryanka,UA,48.511,38.6722,63.75,59,92,9.01,overcast clouds
250,Jorochito,BO,-18.05,-63.4333,79.12,58,42,12.35,scattered clouds
251,Ancud,CL,-41.8697,-73.8203,44.22,88,100,22.5,heavy intensity rain
252,Bethel,US,41.3712,-73.414,63.36,42,20,6.91,few clouds
253,Quang Ngai,VN,15.1167,108.8,77.52,94,99,6.26,overcast clouds
254,Provideniya,RU,64.3833,-173.3,22.78,81,7,4.05,clear sky
255,Ixtapa,MX,20.7,-105.2,76.23,69,40,4.0,scattered clouds
256,Montijo,PT,38.7067,-8.9739,67.68,66,40,13.8,scattered clouds
257,Haines Junction,CA,60.7522,-137.5108,31.95,80,100,0.0,overcast clouds
258,Awjilah,LY,29.1081,21.2869,90.88,12,0,3.96,clear sky
259,Nusaybin,TR,37.0778,41.2178,73.44,31,100,9.75,overcast clouds
260,Yanam,IN,16.7333,82.2167,83.32,77,69,7.16,broken clouds
261,Asau,RO,46.4333,26.4,70.95,40,62,3.53,broken clouds
262,Kidal,ML,18.4411,1.4078,99.52,6,0,15.75,clear sky
263,Kangasala,FI,61.4638,24.076,50.14,61,16,8.01,few clouds
264,Kavieng,PG,-2.5744,150.7967,81.75,77,47,8.61,light rain
265,Tilichiki,RU,60.4667,166.1,24.46,86,100,11.14,overcast clouds
266,Ostrovnoy,RU,68.0531,39.5131,35.51,99,100,14.29,overcast clouds
267,Gillette,US,44.2911,-105.5022,33.12,93,100,20.0,light snow
268,Pokhara,NP,28.2333,83.9833,74.08,29,1,7.7,clear sky
269,Taltal,CL,-25.4,-70.4833,64.98,76,2,2.44,clear sky
270,Souillac,MU,-20.5167,57.5167,75.58,83,75,19.57,broken clouds
271,Tiksi,RU,71.6872,128.8694,-3.64,100,98,2.39,overcast clouds
272,Male,MV,4.1748,73.5089,84.87,67,100,6.02,overcast clouds
273,Hofn,IS,64.2539,-15.2082,51.82,66,20,12.66,few clouds
274,Kaeo,NZ,-35.1,173.7833,58.32,94,42,6.98,scattered clouds
275,Charters Towers,AU,-20.1,146.2667,71.15,83,99,17.56,overcast clouds
276,Faanui,PF,-16.4833,-151.75,79.93,72,69,5.03,broken clouds
277,Codrington,AU,-38.2667,141.9667,48.92,92,0,7.85,clear sky
278,Constantine,DZ,36.365,6.6147,72.81,35,20,5.75,few clouds
279,Fort Saint James,CA,54.4333,-124.25,42.73,73,100,3.49,overcast clouds
280,Murgab,TM,37.4966,61.9714,78.67,41,0,4.61,clear sky
281,Alekseyevsk,RU,57.8406,108.3492,22.03,96,79,3.09,broken clouds
282,Kon Tum,VN,14.35,108.0,75.11,80,48,1.68,scattered clouds
283,Ilebo,CD,-4.3167,20.5833,82.83,68,98,1.92,light rain
284,Puerto Gaitan,CO,4.3133,-72.0816,81.61,74,97,9.84,overcast clouds
285,Hovd,MN,48.0056,91.6419,29.88,42,71,12.75,light snow
286,Vigrestad,NO,58.5667,5.7,55.96,62,82,1.05,broken clouds
287,Cockburn Town,TC,21.4612,-71.1419,77.34,69,100,17.81,overcast clouds
288,Beachwood,US,41.4645,-81.5087,78.3,50,20,19.57,few clouds
